"WHRS";"KL6";"K618";"WA";"WE";"WW";"HHRS";"HA";"HE";"HW";"MTR";"WMED";"WFED";"UN";"CIT";"AX"
1880;0;0;48;10;4,7872;1920;55;12;7,8125;0,6215;7;7;11;0;27
1240;0;1;30;12;5,8065;1824;31;12;4,6053;0,7215;10;7;7,5;1;12
848;0;1;51;12;2,3585;2878;54;12;3,9746;0,6615;7;7;3;0;6
150;0;5;52;12;2;2390;54;16;15,063;0,5215;7;12;14;1;9
2000;0;2;37;12;1,9;3120;39;13;4,5064;0,6215;12;12;5;0;2
1952;0;2;32;12;5,123;2040;33;12;5,8824;0,6615;12;7;5;0;6
1456;0;2;36;17;5,4945;2151;35;15;10,228;0,5815;12;14;5;1;9
1740;0;2;35;12;6,3218;1976;37;14;6,5789;0,6615;10;10;7,5;1;16
1400;0;0;45;17;7,1429;2286;51;16;8,8145;0,5815;14;12;5;0;22
2000;0;0;56;12;2,375;2032;60;10;2,9528;0,7515;7;7;14;0;26
1750;0;2;40;10;2,5429;1680;45;4;4,5173;0,7515;7;7;14;0;11
1101;1;2;45;12;2,1798;1560;49;14;5,1282;0,7515;14;12;7,5;1;11
2000;0;2;32;12;2,6;2895;30;12;4,1451;0,7215;10;7;7,5;0;15
1877;0;0;45;12;3,7294;1820;50;8;8,7912;0,6615;10;10;7,5;0;13
160;0;2;40;12;4,375;2450;44;12;7,3061;0,6915;7;12;14;1;6
1886;0;1;38;12;4,4433;1748;42;8;6,0069;0,6915;7;10;9,5;1;20
1446;0;4;49;12;4,2877;1020;45;12;8,3333;0,7515;7;7;14;1;17
1500;0;1;47;16;1,6667;2342;49;17;11,529;0,5815;14;14;11;1;8
860;0;0;52;13;3,2558;2250;53;12;6,6667;0,6615;7;7;11;1;13
1848;0;1;34;13;5,4113;2880;40;16;8,6806;0,5515;12;12;7,5;1;15
1678;0;2;44;12;2,205;2032;46;12;3,468;0,7215;14;12;3;0;14
160;0;3;36;16;4,0625;3120;42;16;3,0321;0,7215;14;7;3;0;14
108;0;0;50;17;0,6482;1760;57;16;13,807;0,5815;14;16;9,5;1;6
1738;0;0;45;12;5,3826;1725;47;12;6,2174;0,6615;0;0;7,5;1;24
1170;0;2;44;14;0,1709;2080;46;13;4,2308;0,7515;16;12;9,5;1;10
15;0;2;57;12;23,467;2040;57;10;11,47;0,6615;7;7;11;1;2
2088;0;0;35;17;9,5785;2940;42;17;12,245;0,5;12;17;9,5;1;9
2490;0;0;46;12;3,6948;2280;52;12;9,2105;0,5815;7;7;7,5;1;23
135;2;1;30;14;2,2222;2164;35;16;6,3309;0,7215;10;12;14;1;12
1944;0;3;42;12;1,749;1999;44;12;7,8039;0,6915;7;3;14;0;8
690;0;1;34;12;1,1594;1824;36;13;7,6754;0,7215;10;7;7,5;1;16
608;0;2;45;17;6,9901;2182;47;16;15,582;0,5515;10;14;14;1;10
63;1;2;35;16;3,9683;2385;37;16;9,6436;0,6615;14;7;14;1;7
154;0;0;40;16;21,429;2460;44;17;12,886;0,5515;7;12;14;1;19
420;0;1;32;12;0,4762;2595;35;16;6,5511;0,6915;12;12;7,5;1;2
651;0;0;54;9;2,1505;2400;57;10;8,25;0,6615;7;7;7,5;1;9
675;0;3;38;12;1,8578;3120;42;8;1,3792;0,7915;7;7;14;0;14
1663;0;3;43;12;4,3295;2850;42;12;5,2632;0,6915;12;14;5;1;9
1680;0;0;54;16;8,9286;760;60;12;10,526;0,72;14;7;9,5;1;16
180;0;3;39;14;2,7778;2500;37;17;10;0,6215;12;12;7,5;1;7
1581;0;1;37;12;2,6565;2630;39;14;12,548;0,5215;7;12;5;1;6
1200;0;2;46;12;2,5;2597;48;8;4,6207;0,7215;7;7;5;1;22
450;0;0;56;11;18,267;2760;60;11;1,854;0,6915;7;7;3;0;9
547;0;3;41;12;0,819;2070;44;8;7,4266;0,7215;12;7;7,5;0;9
300;0;1;45;16;2;2256;48;16;13,298;0,5815;16;7;11;1;14
975;0;1;44;17;15,385;1505;47;16;26,578;0,5;3;3;7,5;1;17
1621;0;1;50;17;6,4775;2364;52;17;13,959;0,4915;16;12;5;0;12
300;0;5;37;14;8,3333;2895;38;14;13,126;0,6215;7;7;11;0;13
1868;0;1;44;12;4,5503;2041;46;12;7,8883;0,6615;16;7;14;0;8
1803;0;2;32;14;2,4958;2195;34;17;8,656;0,6615;7;14;9,5;1;10
2143;1;1;34;12;4,4797;1935;40;12;3,4109;0,7215;10;10;14;0;16
1080;0;2;32;10;2,2324;1950;35;10;4,6256;0,7515;10;10;7,5;0;1
1352;0;3;37;12;2,071;2375;38;14;4,2105;0,7515;10;10;11;0;6
537;0;1;44;13;1,676;1920;55;8;4,2708;0,7715;10;10;9;1;4
352;0;2;34;16;3,4091;3300;33;12;3,3424;0,6915;12;12;14;0;8
200;1;3;33;12;2,5;3680;33;16;8,6359;0,4915;10;3;5;1;4
2045;0;3;43;7;3,9609;1968;43;12;6,7581;0,6915;7;7;7,5;1;15
1253;0;2;35;16;6,2275;2504;33;10;0,5843;0,7715;16;16;11;0;7
1960;0;1;43;14;3,9286;2000;45;14;5,335;0,6915;7;7;7,5;0;14
2000;0;0;34;12;2,9;1656;37;12;4,7101;0,7215;7;7;7,5;0;16
1960;0;3;36;10;4,0816;1968;39;7;4,9797;0,7215;7;0;7,5;0;15
2000;0;2;41;12;2,85;2016;41;12;2,9762;0,7215;7;7;14;0;23
1568;0;0;41;16;7,0153;2602;44;17;12,744;0,4415;7;7;7,5;0;19
1225;0;3;35;10;2,9388;1560;43;9;3,8462;0,7515;10;10;7,5;0;4
780;1;3;32;12;1,9231;1827;37;10;7,2233;0,7515;10;7;5;1;12
480;0;0;30;14;6,875;2080;34;14;8,8077;0,6615;12;12;14;1;12
1923;0;0;43;12;3,9002;3390;47;12;5,3864;0,6215;7;7;7,5;1;25
2000;0;0;54;6;2;2524;57;6;3,6846;0,7215;7;7;7,5;0;14
2110;0;2;35;15;4,9763;2777;34;12;1,8437;0,7215;7;7;7,5;0;14
1664;0;0;50;12;1,2019;3120;54;13;1,3013;0,7215;7;7;7,5;0;11
48;1;1;34;17;22,5;2700;36;17;7,2222;0,6915;14;16;5;1;7
1791;0;0;52;14;6,8677;1904;57;12;7,3529;0,6615;14;12;9,5;1;18
1404;0;3;35;13;3,5613;2360;38;14;11,864;0,6215;7;10;9;1;4
1920;0;0;55;6;1,9792;1960;58;8;5,3327;0,7215;7;7;7,5;0;37
2141;0;0;35;16;5,3713;2000;42;16;5,5;0,6615;7;7;7,5;0;13
1720;0;1;49;14;1,7442;2600;45;16;7,2308;0,5215;16;16;9,5;1;14
3533;2;2;38;15;5,0948;2000;38;9;7;0,64;12;7;9,5;1;17
2000;0;2;42;14;2,5;2218;45;14;7,2137;0,6915;7;7;9,5;1;5
800;0;1;48;8;3,825;2000;52;5;4,5;0,7515;7;7;7,5;0;2
3000;0;0;51;14;1;2595;53;16;8,8632;0,6215;12;12;9,5;1;0
293;0;2;43;12;3,0717;2400;47;12;9,3333;0,6615;12;10;7,5;1;3
1872;0;1;43;12;1,7163;2856;48;12;3,8263;0,6615;12;10;7,5;1;21
2058;0;1;38;12;4,0209;2601;38;14;5,4448;0,6615;10;10;7,5;1;20
1832;0;1;44;12;5,4585;2054;48;9;8,7634;0,6215;3;7;7,5;1;19
120;1;3;36;12;25;2500;35;12;8,4;0,6615;12;10;9,5;1;4
1632;0;0;38;12;2,3897;1960;31;12;5,102;0,7215;12;12;7,5;0;19
778;0;0;47;8;3,2134;2058;51;8;7,4101;0,6915;12;12;5;1;11
1984;0;2;34;12;3,377;2410;49;10;5,3527;0,6915;7;7;7,5;0;14
225;1;2;40;17;1,7778;1278;38;17;19,562;0,6615;16;17;14;1;8
1960;0;1;31;12;3,1633;2875;35;12;5,0783;0,6915;12;12;7,5;0;13
444;0;0;46;12;2,7027;2340;49;12;0,5128;0,8015;10;16;7,5;1;24
384;0;3;36;14;1,6927;3060;43;17;5,402;0,5815;10;10;14;1;1
1170;1;2;39;13;0,2137;1920;47;12;7,8646;0,7215;12;16;11;1;1
1330;0;2;36;17;6,7669;3390;38;12;6,0531;0,5515;7;7;14;0;3
1350;0;4;37;8;1,7407;2400;41;12;5;0,7515;7;7;3;0;4
480;0;4;39;12;2,5;1640;40;11;7,6829;0,7515;7;9;3;0;21
1984;1;3;36;11;4,4859;1656;38;8;6,0386;0,7215;7;3;14;0;10
1944;0;2;49;12;2,572;1920;53;16;5,851;0,7215;7;7;5;1;13
50;1;1;45;12;3,46;1780;46;10;6,7416;0,7215;7;7;9,5;1;9
460;2;0;32;17;4,7826;1850;31;17;8,1081;0,7215;7;7;7,5;0;14
680;0;5;36;10;2,3118;3430;43;12;5,3061;0,7215;7;7;7,5;0;2
2450;0;1;40;12;5,3061;2008;40;8;7,2709;0,6215;7;7;5;1;21
2144;0;2;43;13;5,8675;2140;43;11;8,1776;0,5815;7;7;7,5;1;22
1760;0;1;33;12;3,4091;3380;34;12;7,1006;0,5815;12;16;11;1;14
490;0;1;30;12;4,0816;2430;33;11;6,5844;0,6915;12;12;7,5;1;7
0;0;1;49;12;0;2550;54;15;7,8529;0,6615;14;12;7,5;1;2
0;2;0;30;16;0;1928;34;16;11,929;0,6615;14;7;9,5;1;5
0;1;0;30;12;0;1100;39;17;18;0,6615;12;12;7,5;0;12
0;0;4;41;12;0;3193;40;16;10,022;0,5815;7;7;7,5;1;1
0;0;1;45;12;0;2250;46;16;9,3333;0,6615;7;7;5;1;12
0;0;5;43;12;0;2012;44;13;6,085;0,7515;7;7;7,5;1;4
0;0;1;42;13;0;3856;46;15;5,7054;0,6615;10;7;11;1;9
0;0;0;60;12;0;1645;58;12;9,1185;0,7215;7;7;7,5;1;9
0;0;0;57;12;0;1554;57;12;7,2072;0,7215;9;3;7,5;1;6
0;0;2;38;10;0;2352;41;8;5,3146;0,7515;12;7;5;0;5
0;0;0;56;12;0;1980;58;12;8,2828;0,6915;12;12;7,5;1;5
0;0;3;32;12;0;2352;37;7;7,0578;0,7215;10;7;5;0;8
0;0;1;49;7;0;1784;58;6;6,1659;0,7515;7;7;7,5;1;2
0;0;0;55;12;0;2500;58;12;2,7;0,7215;7;10;3;0;6
0;1;1;36;9;0;2088;39;14;7,6628;0,7215;7;7;11;0;0
0;0;3;44;12;0;4640;50;12;1,8491;0,7515;9;9;14;0;3
0;0;1;44;10;0;3900;60;12;3,8462;0,7215;7;14;7,5;1;7
0;1;2;35;14;0;1988;34;17;9,0543;0,7215;3;12;7,5;1;3
0;2;3;44;14;0;1920;45;10;9,375;0,7215;10;10;14;0;10
0;0;1;45;12;0;2400;45;12;8,3333;0,6615;12;12;14;1;3
0;1;0;34;12;0;1867;38;12;9,3733;0,6915;12;17;5;1;2
0;2;0;30;17;0;3570;32;17;4,4818;0,7215;12;12;7,5;1;12
0;0;1;39;8;0;2805;44;12;5,3476;0,7215;7;3;3;0;15
0;0;2;36;12;0;1110;39;15;3,2027;0,7815;7;7;14;0;5
0;0;2;38;17;0;2695;42;16;12,801;0,5515;10;12;9,5;1;4
0;0;0;53;12;0;1950;54;16;6,9103;0,6215;10;10;7,5;1;10
0;0;2;36;12;0;2128;42;12;4,2293;0,7715;7;7;3;0;1
0;1;1;32;12;0;3260;31;12;4,4479;0,7215;12;7;7,5;1;8
0;0;3;51;9;0;1987;51;12;8,0523;0,7215;7;7;14;1;20
0;0;0;38;11;0;2185;46;11;7,5057;0,6915;10;7;14;1;4
0;2;0;33;12;0;2475;36;12;7,4747;0,6915;10;10;11;1;7
0;0;0;54;12;0;2610;53;12;6,3218;0,6915;16;10;9,5;1;10
0;0;3;38;9;0;1920;44;12;2,1354;0,8015;7;3;11;0;3
0;2;2;30;11;0;2352;31;14;4,2092;0,7715;7;7;3;0;5
0;2;3;34;12;0;3160;30;12;0,7595;0,9415;12;12;7,5;0;10
0;0;1;34;9;0;1040;37;13;4,8077;0,7915;12;7;3;0;0
0;0;2;50;12;0;3120;49;12;12,788;0,5215;10;7;7,5;1;3
0;2;0;30;17;0;2240;30;16;7,1429;0,7215;12;12;11;0;10
0;0;2;38;12;0;1980;42;16;15,152;0,5815;10;7;11;1;2
0;0;0;54;14;0;1960;58;14;7,9082;0,7215;12;12;9,5;1;10
0;1;2;30;12;0;2940;31;17;6,9728;0,6915;12;12;7,5;1;4
0;0;0;55;12;0;2467;56;11;4,9181;0,5815;7;7;5;1;0
0;0;1;51;10;0;2256;56;12;8,3112;0,6915;10;10;11;0;10
0;0;1;44;12;0;1680;46;12;7,1429;0,7215;7;7;9,5;1;5
0;0;0;53;12;0;2250;55;12;5,6889;0,7215;7;7;5;0;0
0;0;2;42;10;0;2400;49;9;7,0833;0,7215;3;3;5;0;0
0;0;2;38;12;0;2196;42;11;5,6922;0,7215;10;7;7,5;0;19
0;1;3;38;13;0;2400;40;12;11,4;0,6215;7;7;7,5;1;2
0;1;4;41;12;0;3825;41;11;1,4152;0,8015;3;3;9,5;1;12
0;0;3;35;8;0;2860;44;9;2,7507;0,7815;12;7;9,5;1;5
0;1;2;33;12;0;2750;34;12;6,6182;0,7215;12;12;9,5;1;5
0;0;0;48;13;0;2103;50;16;9,2725;0,6915;7;7;7,5;0;5
0;0;0;47;12;0;1880;51;12;12,287;0,6215;12;10;7,5;1;10
0;0;5;34;12;0;3185;41;13;2,8549;0,7515;7;7;7,5;1;0
0;2;1;33;13;0;2677;37;17;7,9709;0,5215;12;10;5;1;4
0;3;1;31;13;0;3600;36;17;19,444;0,4415;12;16;11;0;3
0;0;0;58;8;0;4334;58;8;1,4806;0,7515;12;7;7,5;1;2
0;0;0;49;12;0;2874;52;8;1,8918;0,7515;7;7;3;0;1
0;0;1;55;8;0;1936;56;9;6,9215;0,7215;7;3;7,5;1;0
0;0;0;44;14;0;1964;49;8;10,692;0,6615;12;12;14;1;1
0;0;0;44;9;0;1900;48;8;9,9474;0,6915;7;7;11;1;1
0;0;3;36;16;0;2500;37;17;19;0,4615;7;12;9,5;1;6
0;0;3;38;12;0;3173;46;14;7,4882;0,6615;14;14;9,5;1;12
0;0;3;37;16;0;2916;38;17;9,259;0,6215;16;7;7,5;1;6
0;0;0;47;12;0;2208;51;12;11,322;0,6215;12;7;5;1;9
0;0;3;47;12;0;2094;47;10;6,447;0,7515;12;10;7,5;1;14
0;1;1;32;12;0;2250;33;12;6,5778;0,7215;7;7;9;1;13
0;1;2;43;12;0;2000;46;12;6,1;0,7515;12;7;7,5;0;8
0;1;4;42;11;0;2600;48;10;4,2308;0,7815;10;10;3;0;0
0;0;0;56;12;0;4368;57;8;2,217;0,7215;7;7;7,5;0;1
0;0;5;38;13;0;3068;40;16;6,5189;0,6915;12;7;11;1;3
0;0;2;52;12;0;2218;51;11;6,4923;0,7215;7;7;14;1;13
0;0;0;50;12;0;1848;56;12;11,364;0,6615;12;12;7,5;1;3
0;0;0;33;16;0;2430;33;17;9,8765;0,6615;12;12;7,5;1;8
0;0;2;44;16;0;2640;44;17;7,6576;0,6915;7;7;7,5;1;8
0;0;1;41;12;0;2108;42;16;8,3017;0,6915;7;7;14;0;18
0;0;1;45;12;0;1998;45;12;14,114;0,6215;14;12;11;1;2
0;0;0;53;14;0;2500;55;16;16;0,5215;7;7;7,5;0;3
0;0;0;53;14;0;1665;56;17;11,291;0,6915;12;12;14;1;5
0;0;1;42;12;0;2990;46;12;2,3395;0,7215;12;10;9,5;1;2
0;2;0;32;13;0;1795;35;16;7,7994;0,7215;12;17;7,5;1;10
0;0;0;56;12;0;2500;53;12;6;0,7215;7;7;7,5;1;30
0;1;3;37;11;0;2205;40;11;6,6893;0,7515;10;7;11;1;1
0;1;2;40;12;0;2460;42;14;8,5366;0,6915;12;7;14;1;5
0;0;3;54;15;0;1880;55;16;13,83;0,6215;0;7;7,5;1;8
0;0;0;53;7;0;3481;53;9;1,48;0,7515;7;7;7,5;0;0
0;0;1;48;12;0;2450;51;12;8,5714;0,6615;7;7;9,5;1;4
0;1;2;36;12;0;2062;38;14;8,2299;0,7215;7;7;9,5;1;2
0;0;0;57;12;0;2146;52;14;8,3877;0,6915;7;7;7,5;1;30
0;0;0;51;12;0;1575;49;7;7,3651;0,7215;10;7;14;1;25
0;0;4;33;13;0;3096;37;12;3,4415;0,7215;7;0;3;0;3
0;0;0;52;12;0;3280;49;11;3,3537;0,7515;7;7;7,5;1;20
0;0;0;56;10;0;1680;60;8;2,9762;0,7815;0;7;7,5;1;20
0;1;2;36;12;0;2625;38;11;5,181;0,7515;14;9;7,5;1;0
0;1;0;36;14;0;1846;50;16;10,293;0,6915;12;12;7,5;0;15
0;0;1;46;12;0;2178;47;10;13,243;0,5815;10;7;14;1;10
0;0;3;31;10;0;960;33;9;3,6458;0,9415;7;7;7,5;0;4
0;0;0;52;11;0;2210;51;12;10,407;0,6615;7;7;11;1;3
0;0;2;46;12;0;2192;55;12;8,2117;0,6915;7;7;7,5;1;10
0;2;0;35;12;0;1960;44;16;8,6735;0,7215;7;3;7,5;1;9
0;0;0;59;12;0;1920;56;10;8,3208;0,6915;7;7;14;0;7
0;0;1;36;8;0;2286;40;12;4,287;0,7515;0;0;14;0;12
0;1;3;51;7;0;2000;52;7;10,5;0,5215;3;3;14;0;0
0;1;0;31;16;0;2256;31;12;7,9787;0,6915;12;12;9;1;16
0;0;2;31;14;0;2370;36;17;11,814;0,6215;12;12;14;1;4
0;1;1;32;12;0;1800;39;13;6,1111;0,7515;12;12;7,5;1;7
0;1;2;35;16;0;2250;38;16;12,578;0,6215;12;7;14;1;7
0;0;3;40;12;0;1080;43;12;11,244;0,7515;7;10;7,5;1;14
0;1;2;33;10;0;2840;38;12;2,7408;0,7815;7;7;14;0;2
0;0;0;54;7;0;2250;52;11;4,4444;0,7515;0;0;3;1;20
0;1;1;36;12;0;2746;37;12;5,8267;0,7215;12;12;7,5;1;5
0;0;1;50;10;0;2300;60;8;2,3478;0,7815;12;7;3;0;10
0;0;0;54;8;0;2860;49;8;4,4755;0,7215;0;0;3;0;20
0;0;1;48;11;0;1765;49;12;8,4986;0,7215;7;7;7,5;1;10
0;0;4;41;15;0;2520;42;16;7,1825;0,7215;14;17;5;0;8
0;0;4;50;12;0;2208;53;12;10,87;0,6615;12;7;14;1;11
0;0;2;46;12;0;2119;51;8;7,1222;0,7215;10;7;7,5;1;3
0;0;1;42;13;0;2580;47;17;10,6592;0,5815;12;12;7,5;0;6
0;1;2;31;9;0;1984;34;12;3,2762;0,7915;3;3;14;0;4
0;0;0;53;12;0;1880;58;8;7,7521;0,7215;10;10;14;0;4
0;0;1;51;12;0;2185;57;12;11,945;0,6215;3;3;7,5;1;9
0;0;1;47;12;0;2080;57;12;4,6154;0,7515;7;9;11;1;10
0;0;1;50;12;0;1920;50;12;13,021;0,6215;12;12;14;1;3
0;0;1;37;6;0;3000;52;5;2,6667;0,7515;7;7;7,5;0;2
0;2;2;30;12;0;2100;31;12;8,8333;0,5815;12;12;11;0;2
0;0;0;49;12;0;1690;39;12;2,3669;0,7915;16;16;5;1;0
0;0;2;52;12;0;2600;49;16;5;0,7515;7;0;14;1;8
0;0;2;47;12;0;1984;49;16;7,4597;0,7215;10;7;14;1;6
0;0;0;49;12;0;2064;53;12;7,7519;0,7215;7;7;11;1;15
0;0;4;44;12;0;2553;31;16;5,4054;0,7515;12;10;14;1;15
0;0;0;53;8;0;2776;59;9;6,1239;0,6915;9;9;9,5;1;9
0;1;0;30;12;0;2315;31;13;8,3369;0,6915;7;12;14;0;8
0;0;2;54;12;0;1880;55;12;7,1277;0,7215;7;10;7,5;1;18
0;1;1;47;7;0;2160;51;7;6,1204;0,6915;0;0;7,5;1;3
0;0;0;56;15;0;900;56;12;3,1111;0,7515;7;7;14;1;10
0;0;1;49;12;0;2467;52;16;12,161;0,5815;7;7;11;0;6
0;0;0;48;6;0;1820;55;12;5,3846;0,7515;7;7;9,5;1;20
0;0;1;49;12;0;2223;53;10;3,9838;0,7515;10;12;9,5;0;8
0;0;1;56;12;0;2142;60;12;7,4697;0,7215;12;16;11;0;3
0;0;0;46;12;0;1928;46;11;11,411;0,6615;7;7;7,5;1;4
0;0;2;45;12;0;2783;49;17;12,936;0,5515;12;12;14;1;13
0;0;2;32;12;0;1960;35;12;5,6122;0,7515;12;7;11;1;4
0;1;1;43;12;0;1920;41;12;6,8099;0,7515;7;7;14;1;17
0;1;1;34;12;0;1587;39;12;8,5066;0,7215;7;7;9,5;1;4
0;1;1;30;12;0;2496;51;10;5,508;0,6615;7;10;5;0;0
0;2;0;38;17;0;2280;39;12;7,2285;0,6915;12;16;5;1;15
0;1;1;33;16;0;2750;36;17;9,4545;0,6215;16;16;9,5;0;11
0;0;0;52;12;0;2115;55;12;8,9835;0,6915;7;7;9,5;1;23
0;0;3;43;11;0;2590;45;12;5,9846;0,7215;12;14;7,5;1;1
0;1;1;33;12;0;2372;34;12;3,9629;0,7515;12;7;9,5;0;5
0;0;0;45;10;0;2295;48;12;7,0575;0,5815;7;7;7,5;0;1
0;2;1;36;10;0;2096;38;12;7,1565;0,7215;10;10;14;1;5
0;1;1;34;12;0;3315;39;17;4,0145;0,6615;12;12;9,5;1;3
0;0;2;37;14;0;1777;50;16;3,8829;0,7215;10;14;11;0;3
0;0;1;46;10;0;1880;51;12;7,9787;0,7215;7;7;11;0;19
0;0;0;47;12;0;2184;55;10;5,0366;0,7515;12;12;9,5;1;20
0;2;1;31;16;0;3250;32;16;7,0769;0,6615;12;12;7,5;1;5
0;0;0;57;5;0;1520;58;5;3,6184;0,7715;7;7;14;0;0
0;1;1;30;12;0;3119;30;13;13,466;0,4915;10;10;5;1;3
0;0;0;30;12;0;640;43;17;14,531;0,7215;12;10;11;1;3
0;0;3;44;12;0;2250;45;12;6,8;0,7215;12;12;9,5;1;7
0;0;0;53;13;0;3000;53;13;6,6667;0,6615;7;12;7,5;1;7
0;0;0;51;8;0;2028;54;8;5,9172;0,7215;7;7;9,5;1;1
0;1;3;39;12;0;2412;36;14;10,24;0,6615;12;7;5;1;13
0;0;0;52;8;0;2452;54;12;8,1566;0,6915;7;3;3;0;0
0;0;4;46;8;0;2304;50;12;6,6775;0,7215;3;3;11;1;0
0;0;5;47;12;0;3120;49;12;0,9615;0,9415;7;7;3;0;12
0;0;2;52;8;0;1670;54;8;16,907;0,4415;7;3;7,5;1;0
0;0;2;45;12;0;2137;46;15;13,57;0,6215;10;14;7,5;1;5
0;0;0;60;11;0;2071;52;11;8,9329;0,6915;7;7;7,5;1;45
0;0;2;41;13;0;1960;54;7;4,7372;0,7215;17;7;11;0;10
0;0;3;39;8;0;2068;45;12;8,5106;0,7215;7;7;7,5;1;2
0;0;1;49;12;0;2190;51;12;5,2511;0,7515;7;7;7,5;0;3
0;1;1;32;15;0;2295;37;13;21,786;0,4415;12;12;14;1;1
0;1;3;33;12;0;2970;34;13;7,9125;0,6615;12;12;14;1;5
0;0;4;36;10;0;2068;37;8;7,1083;0,7515;7;9;14;0;10
0;3;3;37;13;0;2419;39;14;5,0434;0,7715;7;0;5;0;4
0;1;2;30;12;0;2150;34;11;2,2442;0,7815;12;12;11;0;7
0;1;1;44;11;0;1152;37;10;8,5069;0,7515;7;12;9,5;1;9
0;0;1;48;12;0;2640;49;12;7,5758;0,6915;7;12;5;1;5
0;0;4;40;11;0;2550;45;11;5,8824;0,7515;7;7;14;1;4
0;0;0;47;13;0;1360;49;16;40,441;0,4415;9;9;5;1;11
0;0;2;36;12;0;2420;40;12;6,2339;0,7215;12;7;5;1;9
0;0;2;40;11;0;2205;42;14;9,2971;0,6915;7;12;5;1;4
0;0;1;46;12;0;3268;46;12;0,7038;0,9415;12;7;7,5;1;2
0;0;0;52;12;0;3672;54;12;2,5425;0,6915;3;12;7,5;0;23
0;0;1;44;12;0;1800;45;12;5,0833;0,7515;12;12;11;0;3
0;0;1;45;10;0;1926;46;14;7,6843;0,7215;7;7;7,5;1;15
0;2;1;30;7;0;1920;35;7;4,0625;0,7815;7;3;7,5;0;8
0;1;3;40;12;0;2080;44;12;6,5106;0,6615;12;12;14;1;3
0;0;1;43;12;0;2856;43;12;2,951;0,7215;7;12;7,5;0;25
0;0;2;49;12;0;2115;53;10;5,6738;0,7515;12;3;11;1;2
0;1;4;46;12;0;1880;48;12;12,766;0,6615;12;12;11;1;0
0;0;0;52;11;0;2000;52;12;6;0,7515;7;7;11;0;19
0;1;1;31;12;0;2044;33;15;9,2955;0,6915;7;10;9,5;1;3
0;1;1;42;10;0;1677;47;11;5,1324;0,7515;7;7;5;0;7
0;0;3;33;11;0;2184;38;8;9,0659;0,6915;7;14;7,5;1;1
0;0;0;57;16;0;3185;57;13;11,931;0,4415;7;12;14;1;9
0;0;0;49;10;0;2680;51;10;6,7164;0,6915;10;10;11;1;3
0;0;1;45;14;0;3615;47;14;4,5851;0,6915;14;12;11;1;8
0;0;0;56;11;0;2139;56;12;9,2567;0,6915;7;7;14;1;0
0;1;3;41;12;0;3080;43;12;8,5656;0,6215;10;10;7,5;1;5
0;0;0;56;5;0;1261;53;6;6,7407;0,7515;3;3;14;1;20
0;0;1;48;10;0;2227;48;10;9,8788;0,6915;7;7;5;1;3
0;0;2;52;16;0;1920;53;16;9,375;0,6615;12;10;7,5;1;12
0;0;0;51;12;0;2350;55;12;6,277;0,7215;7;7;14;1;5
0;0;3;35;11;0;1785;39;10;6,4241;0,7515;7;7;7,5;0;1
0;0;0;45;12;0;2598;51;12;8,3718;0,6615;7;7;5;0;0
0;0;0;54;12;0;2455;58;17;12,22;0,5815;7;7;9,5;1;7
0;0;2;54;12;0;2450;54;13;3,5612;0,7215;10;10;9,5;1;13
0;1;0;31;12;0;1218;32;8;8,867;0,7515;7;7;3;0;3
0;0;3;53;6;0;2040;54;4;1,8515;0,9415;7;7;11;0;0
0;2;2;35;14;0;2600;34;14;8,0769;0,5515;16;14;3;0;2
0;1;3;36;12;0;2450;40;16;8,9796;0,6615;12;16;7,5;0;0
0;0;0;59;12;0;2717;60;12;6,6618;0,6615;7;7;11;1;2
0;0;0;54;16;0;2701;54;17;11,107;0,5815;16;17;5;1;1
0;1;1;37;12;0;2600;47;17;14,077;0,5515;7;7;9;1;10
0;0;0;44;12;0;3640;54;10;0,4121;0,9415;7;7;7,5;1;10
0;1;2;34;17;0;2940;40;16;23,81;0,4415;12;12;5;1;1
0;0;0;49;12;0;1880;50;12;9,5745;0,6915;7;7;11;0;3
0;0;0;49;12;0;3500;51;12;1,9286;0,7215;7;7;3;0;32
0;0;0;60;9;0;3320;60;8;2,5783;0,7215;7;7;3;0;0
0;0;0;51;12;0;1605;55;12;7,2274;0,7215;7;7;7,5;1;7
0;1;1;30;12;0;2500;30;14;8,8;0,6615;12;10;5;1;5
0;0;2;47;12;0;2400;49;9;7,75;0,6615;7;7;11;1;2
0;0;4;36;12;0;1634;45;17;14,688;0,6615;12;12;7,5;1;5
0;1;3;35;12;0;2260;38;12;10,487;0,6615;7;7;9,5;1;3
0;0;0;58;12;0;3478;53;12;4,0253;0,7215;12;9;11;0;25
0;1;3;41;14;0;2550;42;16;11,765;0,6215;14;12;7,5;0;0
0;0;1;51;10;0;840;52;8;9,5238;0,7515;7;7;14;1;3
0;0;0;47;12;0;1520;52;12;6,9079;0,7215;7;7;11;0;10
0;1;2;45;9;0;1920;35;9;5,151;0,7515;12;3;11;0;10
0;0;0;60;14;0;2703;55;17;20,496;0,4415;16;14;14;1;7
0;1;1;30;16;0;1896;46;16;13,555;0,6615;12;12;9,5;1;5
0;0;0;55;11;0;1960;57;13;14,796;0,5815;7;3;5;1;15
0;1;2;32;12;0;3060;50;8;1,6905;0,7815;10;7;3;0;1
0;0;2;36;12;0;2805;38;12;7,2296;0,5215;7;7;3;0;5
0;0;0;55;12;0;1944;53;7;4,1152;0,7515;3;3;14;0;9
